Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12656981, 7.00,, 200, 976,, 90, 0.310255, 0.345925, 0.343820, 0.000037, 0.000720,-0.000628,-4.272E-06, 2.031E-03, 1.488E-04, 1.038444, 1.030825, 0.930730, 90.3, 17.3, 266.5, 72.7, 359.9, 1.1, 72.7, 0.2, 342.7, 1.0, 175.7, 88.9, 1.0074, 1.1075, 1.1157, 1.1302, 12,0, 12,0,YES,3D,8/30/2023 12:09:36 AM,,
CUBE12657001, 7.00,, 200, 976,, 90, 0.317176, 0.340860, 0.341964,-0.000261, 0.002554,-0.003285,-4.272E-06, 3.658E-03, 1.015E-04, 1.032913, 1.016842, 0.950245, 99.7, 52.7, 264.3, 36.3, 359.8, 7.4, 36.9, 5.9, 306.4, 4.6, 178.7, 82.6, 1.0158, 1.0701, 1.0870, 1.0927, 12,0, 12,0,YES,3D,8/30/2023 12:11:41 AM,,
CUBE12657021, 7.00,, 200, 976,, 90, 0.311812, 0.348247, 0.339941, 0.003335, 0.003747,-0.003489,-4.272E-06, 4.964E-03, 1.285E-04, 1.049350, 1.017647, 0.933003, 86.9, 19.8, 244.2, 68.6, 354.1, 7.6, 250.1, 2.9, 340.6, 9.1, 142.4, 80.4, 1.0312, 1.0907, 1.1247, 1.1297, 12,0, 12,0,YES,3D,8/30/2023 12:13:13 AM,,
CUBE12657061, 7.00,, 200, 976,, 90, 0.316779, 0.341080, 0.342141,-0.001739,-0.000892,-0.000775,-4.272E-06, 2.378E-03, 1.194E-04, 1.027951, 1.022167, 0.949882, 270.9, 60.0, 95.2, 30.0, 4.1, 1.9, 150.0, 0.4, 59.9, 4.5, 245.5, 85.5, 1.0057, 1.0761, 1.0822, 1.0921, 12,0, 12,0,YES,3D,8/30/2023 12:14:43 AM,,
CUBE12657251, 7.00,, 200, 976,, 90, 0.311801, 0.345529, 0.342671, 0.000593,-0.000334, 0.005299,-4.272E-06, 4.530E-03, 1.449E-04, 1.036702, 1.030585, 0.932713, 270.0, 6.6, 34.6, 78.4, 178.9, 9.5, 96.6, 0.0, 186.7, 9.5, 6.4, 80.5, 1.0059, 1.1049, 1.1115, 1.1261, 12,0, 12,0,YES,3D,8/30/2023 12:16:09 AM,,
CUBE12657081, 7.00,, 200, 976,, 90, 0.298113, 0.353561, 0.348326,-0.002239,-0.001115, 0.002044,-4.272E-06, 2.436E-03, 2.242E-04, 1.061733, 1.044436, 0.893830, 272.8, 12.2, 81.9, 77.5, 182.3, 2.3, 102.3, 2.7, 192.3, 1.7, 315.2, 86.8, 1.0166, 1.1685, 1.1878, 1.2093, 12,0, 12,0,YES,3D,8/30/2023 12:17:38 AM,,
CUBE12657101, 7.00,, 200, 976,, 90, 0.313796, 0.343620, 0.342584, 0.002064,-0.001088,-0.003220,-4.272E-06, 3.559E-03, 1.334E-04, 1.034124, 1.025926, 0.939950, 261.9, 35.8, 94.7, 53.5, 356.3, 6.1, 306.1, 6.6, 36.4, 2.8, 149.2, 82.9, 1.0080, 1.0915, 1.1002, 1.1118, 12,0, 12,0,YES,3D,8/30/2023 12:19:05 AM,,
CUBE12657141, 7.00,, 200, 976,, 90, 0.313189, 0.345365, 0.341446,-0.001097, 0.001149,-0.003068,-4.272E-06, 2.113E-03, 1.293E-04, 1.037366, 1.024142, 0.938492, 93.6, 17.1, 253.0, 71.8, 1.7, 6.0, 72.8, 3.4, 342.5, 5.3, 195.8, 83.7, 1.0129, 1.0913, 1.1054, 1.1152, 12,0, 12,0,YES,3D,8/30/2023 12:21:01 AM,,
CUBE12657161, 7.00,, 200, 976,, 90, 0.309235, 0.346729, 0.344036, 0.001088, 0.000955,-0.000716,-4.272E-06, 4.555E-03, 1.419E-04, 1.041153, 1.031284, 0.927564, 88.7, 17.3, 264.4, 72.7, 358.3, 1.2, 252.7, 1.3, 342.7, 1.7, 125.9, 87.9, 1.0096, 1.1118, 1.1225, 1.1368, 12,0, 12,0,YES,3D,8/30/2023 12:24:46 AM,,
CUBE12657181, 7.00,, 200, 976,, 90, 0.310910, 0.347909, 0.341182, 0.004049, 0.000232,-0.004888,-4.272E-06, 3.269E-03, 1.420E-04, 1.045080, 1.025780, 0.929140, 263.5, 2.6, 157.3, 80.8, 353.9, 8.8, 272.6, 6.5, 3.6, 8.5, 145.6, 79.3, 1.0188, 1.1040, 1.1248, 1.1347, 12,0, 12,0,YES,3D,8/30/2023 12:26:22 AM,,
CUBE12657201, 7.00,, 200, 976,, 90, 0.314149, 0.344546, 0.341305, 0.001916,-0.000407,-0.005739,-4.272E-06, 3.558E-03, 1.263E-04, 1.034693, 1.026655, 0.938652, 263.2, 16.8, 119.3, 69.6, 356.7, 11.4, 286.9, 6.5, 18.0, 9.8, 163.9, 78.2, 1.0078, 1.0938, 1.1023, 1.1143, 12,0, 12,0,YES,3D,8/30/2023 12:27:51 AM,,
CUBE12657411, 7.00,, 200, 976,, 90, 0.321257, 0.341233, 0.337510, 0.002874, 0.001324, 0.004387,-4.272E-06, 3.972E-03, 1.003E-04, 1.027551, 1.012863, 0.959586, 77.0, 24.5, 289.4, 61.7, 173.2, 13.4, 245.0, 11.9, 153.0, 9.1, 26.5, 75.0, 1.0145, 1.0555, 1.0708, 1.0748, 12,0, 12,0,YES,3D,8/30/2023 12:29:21 AM,,
CUBE12657431, 7.00,, 200, 976,, 90, 0.316969, 0.341945, 0.341086, 0.001422, 0.001440,-0.000942,-4.272E-06, 2.519E-03, 1.216E-04, 1.029094, 1.020371, 0.950535, 88.4, 36.0, 263.3, 53.9, 356.6, 2.4, 234.0, 1.3, 324.1, 3.9, 125.6, 85.8, 1.0086, 1.0735, 1.0826, 1.0911, 12,0, 12,0,YES,3D,8/30/2023 12:30:50 AM,,
CUBE12657451, 7.00,, 200, 976,, 90, 0.311122, 0.344870, 0.344008, 0.003101, 0.000340, 0.000405,-4.272E-06, 3.073E-03, 1.436E-04, 1.035795, 1.031700, 0.932505, 84.6, 16.7, 266.9, 73.3, 174.8, 0.6, 253.2, 5.2, 343.3, 0.9, 82.9, 84.8, 1.0040, 1.1064, 1.1108, 1.1265, 12,0, 12,0,YES,3D,8/30/2023 12:32:18 AM,,
