Sample Name,Volume (cm^3),Mass (g),Field (A/m),Frequency (Hz),Azimuth (deg),Dip (deg),K11 (Spec),K22 (Spec),K33 (Spec),K12 (Spec),K23 (Spec),K13 (Spec),Holder Value,Bulk Susceptibility,Standard deviation,K1,K2,K3,K1 DEC (Spec),K1 INC (Spec),K2 DEC (Spec),K2 INC (Spec),K3 DEC (Spec),K3 INC (Spec),K1 DEC (Geo),K1 INC (Geo),K2 DEC (Geo),K2 INC (Geo),K3 DEC (Geo),K3 INC (Geo),L,F,P,P',P1,P2,P3,P4,Demag Factor,Holder,Date,Comments,
CUBE12647191, 7.00,, 200, 976,, 90, 0.324322, 0.337995, 0.337683, 0.000378, 0.000333, 0.000357,-4.272E-06, 1.856E-03, 1.205E-04, 1.014676, 1.012416, 0.972908, 87.5, 32.7, 270.8, 57.3, 178.5, 1.5, 237.3, 2.1, 147.3, 0.4, 46.0, 87.9, 1.0022, 1.0406, 1.0429, 1.0484, 12,0, 12,0,YES,3D,8/29/2023 7:38:28 PM,,
CUBE12647321, 7.00,, 200, 976,, 90, 0.326625, 0.335620, 0.337755,-0.002015, 0.001114, 0.002522,-4.272E-06, 3.793E-03, 5.929E-05, 1.015434, 1.007784, 0.976782, 58.6, 72.3, 285.5, 12.3, 192.8, 12.5, 195.2, 9.1, 102.7, 15.2, 315.2, 72.2, 1.0076, 1.0317, 1.0396, 1.0420, 12,0, 12,0,YES,3D,8/29/2023 7:40:21 PM,,
CUBE12647341, 7.00,, 200, 976,, 90, 0.325204, 0.338374, 0.336422,-0.000689,-0.000839,-0.002147,-4.272E-06, 1.212E-03, 1.380E-04, 1.016059, 1.009673, 0.974269, 269.5, 20.8, 119.1, 66.4, 3.6, 10.7, 290.8, 0.5, 20.9, 11.2, 198.3, 78.8, 1.0063, 1.0363, 1.0429, 1.0463, 12,0, 12,0,YES,3D,8/29/2023 7:42:06 PM,,
CUBE12647361, 7.00,, 200, 976,, 90, 0.319446, 0.341998, 0.338556,-0.001116, 0.001233,-0.006633,-4.272E-06, 1.726E-03, 1.215E-04, 1.028957, 1.018995, 0.952048, 102.3, 30.6, 246.4, 53.9, 1.7, 17.3, 58.9, 10.6, 326.3, 13.6, 185.5, 72.6, 1.0098, 1.0703, 1.0808, 1.0883, 12,0, 12,0,YES,3D,8/29/2023 7:47:06 PM,,
CUBE12647401, 7.00,, 200, 976,, 90, 0.324796, 0.337393, 0.337811,-0.000362, 0.000937,-0.005327,-4.272E-06, 1.612E-03, 1.138E-04, 1.020264, 1.011057, 0.968679, 132.1, 61.9, 262.9, 19.2, 0.1, 19.6, 21.6, 18.4, 289.4, 6.7, 180.3, 70.4, 1.0091, 1.0437, 1.0533, 1.0570, 12,0, 12,0,YES,3D,8/29/2023 7:48:58 PM,,
CUBE12647421, 7.00,, 200, 976,, 90, 0.317544, 0.342413, 0.340042, 0.002133, 0.000833,-0.008402,-4.272E-06, 1.793E-03, 1.640E-04, 1.028648, 1.027656, 0.943697, 124.2, 62.3, 258.1, 20.0, 355.1, 18.3, 23.4, 15.1, 290.4, 11.1, 165.4, 71.0, 1.0010, 1.0890, 1.0900, 1.1040, 12,0, 12,0,YES,3D,8/29/2023 7:50:59 PM,,
CUBE12647441, 7.00,, 200, 976,, 90, 0.294189, 0.357514, 0.348297, 0.000967, 0.002194,-0.004481,-4.272E-06, 3.680E-03, 2.262E-04, 1.074028, 1.044572, 0.881401, 90.0, 12.7, 249.0, 76.4, 359.0, 4.7, 77.3, 0.0, 347.2, 4.9, 167.7, 85.1, 1.0282, 1.1851, 1.2185, 1.2386, 12,0, 12,0,YES,3D,8/29/2023 7:52:50 PM,,
CUBE12648041, 7.00,, 200, 976,, 90, 0.307226, 0.347191, 0.345583, 0.004156, 0.001708,-0.000553,-4.272E-06, 3.732E-03, 1.386E-04, 1.045609, 1.034039, 0.920353, 84.7, 29.2, 262.2, 60.8, 354.1, 1.1, 240.7, 4.6, 331.0, 3.8, 100.3, 84.0, 1.0112, 1.1235, 1.1361, 1.1518, 12,0, 12,0,YES,3D,8/29/2023 7:54:56 PM,,
CUBE12648041, 7.00,, 200, 976,, 90, 0.300379, 0.350247, 0.349374,-0.000727, 0.001633,-0.002112,-4.272E-06, 4.312E-03, 1.972E-04, 1.054707, 1.044455, 0.900838, 92.7, 38.2, 267.7, 51.7, 0.8, 2.4, 51.7, 2.1, 321.7, 1.4, 197.2, 87.4, 1.0098, 1.1594, 1.1708, 1.1933, 12,0, 12,0,YES,3D,8/29/2023 7:56:33 PM,,
CUBE12648081, 7.00,, 200, 976,, 90, 0.313049, 0.344818, 0.342132, 0.002482, 0.002048,-0.007400,-4.272E-06, 3.885E-03, 1.102E-04, 1.038025, 1.028894, 0.933081, 94.3, 33.9, 246.3, 52.8, 355.0, 13.6, 56.1, 3.6, 325.2, 14.1, 160.1, 75.5, 1.0089, 1.1027, 1.1125, 1.1256, 12,0, 12,0,YES,3D,8/29/2023 7:58:36 PM,,
