######################################################################
#
# LoggerIdentifier    : 1858035C
# Comment             : 
# PC Time             : 15 September 2021 , 12:40:58
# Logger Time         : 15 September 2021 , 12:40:58
# StartBatteryVoltage :      2970 mV
# EndBatteryVoltage   :      2902 mV
# TotalSampleCount    :    456793
# ResistanceOffset    :     11905.14456
# ResistanceScale     :     90939.70156
# TemperatureOffset   :         0.0009057505
# TemperatureLinear   :         0.0002256978
# TemperatureCubic    :         0.0000001097
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2021 09 15 10 49 57    24290    34693.502       21.786
2021 09 15 10 49 58    24288    34690.853       21.787
2021 09 15 10 49 59    24288    34690.853       21.787
2021 09 15 10 50 00    24286    34688.205       21.789
2021 09 15 10 50 01    24285    34686.881       21.790
2021 09 15 10 50 02    24284    34685.557       21.791
2021 09 15 10 50 03    24284    34685.557       21.791
2021 09 15 10 50 04    24283    34684.233       21.792
2021 09 15 10 50 05    24283    34684.233       21.792
2021 09 15 10 50 06    24283    34684.233       21.792
2021 09 15 10 50 07    24283    34684.233       21.792
2021 09 15 10 50 08    24283    34684.233       21.792
2021 09 15 10 50 09    24283    34684.233       21.792
2021 09 15 10 50 10    24283    34684.233       21.792
2021 09 15 10 50 11    24284    34685.557       21.791
2021 09 15 10 50 12    24284    34685.557       21.791
2021 09 15 10 50 13    24285    34686.881       21.790
2021 09 15 10 50 14    24286    34688.205       21.789
2021 09 15 10 50 15    24285    34686.881       21.790
2021 09 15 10 50 16    24286    34688.205       21.789
2021 09 15 10 50 17    24286    34688.205       21.789
2021 09 15 10 50 18    24287    34689.529       21.788
2021 09 15 10 50 19    24288    34690.853       21.787
2021 09 15 10 50 20    24288    34690.853       21.787
2021 09 15 10 50 21    24289    34692.177       21.787
2021 09 15 10 50 22    24290    34693.502       21.786
2021 09 15 10 50 23    24290    34693.502       21.786
2021 09 15 10 50 24    24291    34694.826       21.785
2021 09 15 10 50 25    24293    34697.474       21.783
2021 09 15 10 50 26    24294    34698.799       21.782
2021 09 15 10 50 27    24294    34698.799       21.782
2021 09 15 10 50 28    24294    34698.799       21.782
2021 09 15 10 50 29    24296    34701.447       21.780
2021 09 15 10 50 30    24297    34702.772       21.780
2021 09 15 10 50 31    24297    34702.772       21.780
2021 09 15 10 50 32    24296    34701.447       21.780
2021 09 15 10 50 33    24294    34698.799       21.782
2021 09 15 10 50 34    24290    34693.502       21.786
2021 09 15 10 50 35    24284    34685.557       21.791
2021 09 15 10 50 36    24279    34678.937       21.795
2021 09 15 10 50 37    24273    34670.995       21.800
2021 09 15 10 50 38    24268    34664.376       21.805
2021 09 15 10 50 39    24264    34659.082       21.808
2021 09 15 10 50 40    24260    34653.789       21.812
2021 09 15 10 50 41    24256    34648.495       21.815
2021 09 15 10 50 42    24253    34644.526       21.818
2021 09 15 10 50 43    24250    34640.557       21.820
2021 09 15 10 50 44    24248    34637.910       21.822
2021 09 15 10 50 45    24246    34635.264       21.824
2021 09 15 10 50 46    24243    34631.296       21.826
2021 09 15 10 50 47    24242    34629.973       21.827
2021 09 15 10 50 48    24240    34627.327       21.829
2021 09 15 10 50 49    24237    34623.359       21.832
2021 09 15 10 50 50    24234    34619.391       21.834
2021 09 15 10 50 51    24231    34615.423       21.837
2021 09 15 10 50 52    24228    34611.456       21.840
2021 09 15 10 50 53    24224    34606.166       21.843
2021 09 15 10 50 54    24218    34598.233       21.848
2021 09 15 10 50 55    24213    34591.622       21.853
2021 09 15 10 50 56    24206    34582.368       21.859
2021 09 15 10 50 57    24195    34567.830       21.868
2021 09 15 10 50 58    24172    34537.442       21.888
2021 09 15 10 50 59    24145    34501.788       21.912
2021 09 15 10 51 00    24114    34460.877       21.939
2021 09 15 10 51 01    24081    34417.355       21.968
2021 09 15 10 51 02    24045    34369.912       21.999
2021 09 15 10 51 03    24007    34319.872       22.032
2021 09 15 10 51 04    23969    34269.871       22.065
2021 09 15 10 51 05    23932    34221.225       22.098
2021 09 15 10 51 06    23898    34176.557       22.128
2021 09 15 10 51 07    23842    34103.055       22.177
2021 09 15 10 51 08    23743    33973.324       22.264
2021 09 15 10 51 09    23636    33833.413       22.358
2021 09 15 10 51 10    23527    33691.209       22.454
2021 09 15 10 51 11    23433    33568.834       22.537
2021 09 15 10 51 12    23362    33476.561       22.600
2021 09 15 10 51 13    23297    33392.205       22.658
2021 09 15 10 51 14    23278    33367.569       22.675
2021 09 15 10 51 15    23284    33375.348       22.669
2021 09 15 10 51 16    23297    33392.205       22.658
2021 09 15 10 51 17    23315    33415.554       22.642
2021 09 15 10 51 18    23339    33446.699       22.621
2021 09 15 10 51 19    23365    33480.457       22.598
2021 09 15 10 51 20    23392    33515.533       22.574
2021 09 15 10 51 21    23417    33548.028       22.551
2021 09 15 10 51 22    23441    33579.239       22.530
